Player,Tm,FantPos,Age,G,GS,Pass Cmp,Pass Att,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush Y/A,Rush TD,Rec Tgt,Rec Recept,Rec Yds,Rec Y/R,Rec TD,Fmb,FmbL,2PM,2PP
Saquon Barkley*+,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,3,
Derrick Henry*,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,,
Jahmyr Gibbs*,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,,
Lamar Jackson*+,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,1,
Ja'Marr Chase*+,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,,
Bijan Robinson*,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,1,
Josh Jacobs*,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.5,1,4,3,,
Josh Allen*,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,,1
Joe Burrow*,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,,
Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,,
James Cook*,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,,
Justin Jefferson*+,MIN,WR,25,17,17,1,1,22,0,0,1,3,3,0,154,103,1533,14.88,10,1,0,,
Baker Mayfield*,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.3,3,0,0,0,,0,13,2,,1
Jonathan Taylor*,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,,
George Kittle*,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,,
Jayden Daniels*,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,1,2
De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,,
Amon-Ra St. Brown*+,DET,WR,25,17,17,1,1,7,1,0,2,6,3,0,141,115,1263,10.98,12,1,1,,
Brian Thomas*,JAX,WR,22,17,16,0,0,0,0,0,6,48,8,0,133,87,1282,14.74,10,0,0,2,
Brock Bowers*+,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.6,0,153,112,1194,10.66,5,0,0,,
James Conner,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,2,
Joe Mixon*,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,,
Terry McLaurin*,WAS,WR,29,17,17,0,0,0,0,0,2,2,1,0,117,82,1096,13.37,13,1,1,,
Trey McBride*,ARI,TE,25,16,16,0,0,0,0,0,1,2,2,1,147,111,1146,10.32,2,0,0,,
Chase Brown,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,1,
Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3,0,158,100,1271,12.71,9,0,0,,
Chuba Hubbard,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,1,
Jonnu Smith*,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.5,0,111,88,884,10.05,8,2,1,,
Mark Andrews,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,,
Bucky Irving,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,,
Alvin Kamara,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,,
Aaron Jones,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8,2,5,3,,
Jared Goff*,DET,QB,30,17,17,390,539,4629,37,12,35,56,1.6,0,1,1,7,7,1,6,0,,1
David Montgomery,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,,
Mike Evans*,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,,
Breece Hall,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,2,
Malik Nabers*,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.4,0,170,109,1204,11.05,7,1,0,1,
Bo Nix,DEN,QB,24,17,17,376,567,3775,29,12,92,430,4.67,4,1,1,2,2,1,3,0,,
Jalen Hurts,PHI,QB,26,15,15,248,361,2903,18,5,150,630,4.2,14,0,0,0,,0,9,5,,
CeeDee Lamb*,DAL,WR,25,15,15,0,0,0,0,0,14,70,5,0,152,101,1194,11.82,6,1,1,1,
Sam LaPorta,DET,TE,23,16,16,0,0,0,0,0,0,0,,0,83,60,726,12.1,7,0,0,,
Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,,
Ladd McConkey,LAC,WR,23,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,1,
Tucker Kraft,GNB,TE,24,17,17,0,0,0,0,0,3,6,2,0,70,50,707,14.14,7,1,1,1,
Zach Ertz,WAS,TE,34,17,17,0,0,0,0,0,0,0,,0,91,66,654,9.91,7,1,0,2,
Davante Adams,2TM,WR,32,14,14,0,0,0,0,0,0,0,,0,141,85,1063,12.51,8,0,0,1,
Sam Darnold*,MIN,QB,27,17,17,361,545,4319,35,12,67,212,3.16,1,0,0,0,,0,8,4,,
Jameson Williams,DET,WR,23,15,11,0,0,0,0,0,11,61,5.55,1,91,58,1001,17.26,7,0,0,,
D'Andre Swift,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,1,
Jaxon Smith-Njigba*,SEA,WR,22,17,16,1,1,35,0,0,5,26,5.2,0,137,100,1130,11.3,6,1,0,,
Jerry Jeudy*,CLE,WR,25,17,16,0,0,0,0,0,0,0,,0,145,90,1229,13.66,4,0,0,2,
Garrett Wilson,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.5,0,154,101,1104,10.93,7,2,2,1,
Najee Harris,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,,
Jordan Addison,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,,
A.J. Brown,PHI,WR,27,13,13,0,0,0,0,0,0,0,,0,97,67,1079,16.1,7,0,0,,
Tee Higgins,CIN,WR,25,12,9,0,0,0,0,0,0,0,,0,109,73,911,12.48,10,1,1,,
Pat Freiermuth,PIT,TE,26,17,11,0,0,0,0,0,0,0,,0,78,65,653,10.05,7,3,2,,
Kyler Murray,ARI,QB,27,17,17,372,541,3851,21,11,78,572,7.33,5,0,0,0,,0,8,4,1,
Travis Kelce*,KAN,TE,35,16,16,0,0,0,0,0,1,1,1,0,133,97,823,8.48,3,2,1,,
Nico Collins*,HOU,WR,25,12,12,0,0,0,0,0,0,0,,0,99,68,1006,14.79,7,0,0,,
Jayden Reed,GNB,WR,24,17,10,0,0,0,0,0,20,163,8.15,1,75,55,857,15.58,6,3,1,,
J.K. Dobbins,LAC,RB,26,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,,
Tony Pollard,TEN,RB,27,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.8,0,2,2,1,
Rico Dowdle,DAL,RB,26,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,,
D.J. Moore,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,1,
Tyreek Hill,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,,
Zay Flowers*,BAL,WR,24,17,15,0,0,0,0,0,9,56,6.22,0,116,74,1059,14.31,4,0,0,,
Marvin Harrison Jr.,ARI,WR,22,17,16,0,0,0,0,0,0,0,,0,116,62,885,14.27,8,1,1,,
Calvin Ridley,TEN,WR,30,17,14,0,0,0,0,0,8,55,6.88,1,120,64,1017,15.89,4,1,1,,
Jauan Jennings,SFO,WR,27,15,10,0,0,0,0,0,0,0,,0,113,77,975,12.66,6,1,0,,
Justin Herbert,LAC,QB,26,17,17,332,504,3870,23,3,69,306,4.43,2,0,0,0,,0,6,2,,3
DeVonta Smith,PHI,WR,26,13,13,0,0,0,0,0,1,1,1,0,89,68,833,12.25,8,0,0,,
Jakobi Meyers,LVR,WR,28,15,15,0,0,0,0,0,2,23,11.5,0,129,87,1027,11.8,4,0,0,1,
Patrick Mahomes,KAN,QB,29,16,16,392,581,3928,26,11,58,307,5.29,2,1,1,2,2,0,2,0,,
Brock Purdy,SFO,QB,25,15,15,300,455,3864,20,12,66,323,4.89,5,0,0,0,,0,7,3,,
Geno Smith,SEA,QB,34,17,17,407,578,4320,21,15,53,272,5.13,2,0,0,0,,0,9,0,,
Aaron Rodgers,NYJ,QB,41,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,0,,0,5,2,,2
Caleb Williams,CHI,QB,23,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,0,,0,10,5,,3
Jordan Love,GNB,QB,26,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,,0,4,0,,3
C.J. Stroud,HOU,QB,23,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,,0,6,4,,
Matthew Stafford,LAR,QB,36,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,0,,0,6,2,,
Bryce Young,CAR,QB,23,14,12,234,384,2403,15,9,43,249,5.79,6,0,0,0,,0,5,2,,
Tua Tagovailoa,MIA,QB,26,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,0,,0,7,2,,2
Drake Maye*,NWE,QB,22,13,12,225,338,2276,15,10,54,421,7.8,2,0,0,0,,0,9,6,,2
Kirk Cousins,ATL,QB,36,14,14,303,453,3508,18,16,23,0,0,0,0,0,0,,0,13,2,,
Russell Wilson*,PIT,QB,36,11,11,214,336,2482,16,5,43,155,3.6,2,0,0,0,,0,5,4,,
Anthony Richardson,IND,QB,22,11,11,126,264,1814,8,12,86,499,5.8,6,1,1,-1,-1,0,9,3,1,
Derek Carr,NOR,QB,33,10,10,189,279,2145,15,5,17,71,4.18,1,0,0,0,,0,3,0,,1
Rachaad White,TAM,RB,25,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,,
Zach Charbonnet,SEA,RB,23,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.1,1,0,0,,
Trevor Lawrence,JAX,QB,25,10,10,172,284,2045,11,7,26,119,4.58,3,0,0,-5,,0,3,1,,3
Tyrone Tracy Jr.,NYG,RB,25,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,,
Rhamondre Stevenson,NWE,RB,26,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,2,
Brian Robinson Jr.,WAS,RB,25,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,,
Daniel Jones,NYG,QB,27,10,10,216,341,2070,8,7,67,265,3.96,2,0,0,0,,0,4,2,,
Kenneth Walker III,SEA,RB,24,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.5,1,1,0,,
Kareem Hunt,KAN,RB,29,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,,
Jameis Winston,CLE,QB,30,12,7,181,296,2121,13,12,25,83,3.32,1,0,0,0,,0,5,2,,4
Rashod Bateman,BAL,WR,25,17,14,0,0,0,0,0,0,0,,0,72,45,756,16.8,9,0,0,,
Darnell Mooney,ATL,WR,27,16,16,0,1,0,0,0,0,0,,0,106,64,992,15.5,5,0,0,,
Puka Nacua,LAR,WR,23,11,11,0,0,0,0,0,11,46,4.18,1,106,79,990,12.53,3,0,0,,
Xavier Worthy,KAN,WR,21,17,13,0,0,0,0,0,20,104,5.2,3,98,59,638,10.81,6,0,0,,
D.K. Metcalf,SEA,WR,27,15,12,0,0,0,0,0,0,0,,0,108,66,992,15.03,5,2,2,,
Alec Pierce,IND,WR,24,16,13,0,0,0,0,0,0,0,,0,69,37,824,22.27,7,0,0,,
Tank Bigsby,JAX,RB,23,16,1,0,0,0,0,0,168,766,4.56,7,12,7,54,7.71,0,4,1,,
Quentin Johnston,LAC,WR,23,15,11,0,0,0,0,0,3,6,2,0,91,55,711,12.93,8,0,0,,
Will Levis,TEN,QB,25,12,12,190,301,2091,13,12,45,183,4.07,0,0,0,0,,0,10,6,,1
Justin Fields,PIT,QB,25,10,6,106,161,1106,5,1,62,289,4.66,5,0,0,0,,0,6,1,,
Dak Prescott,DAL,QB,31,8,8,185,286,1978,11,8,13,54,4.15,1,0,0,0,,0,4,1,,
Keenan Allen,CHI,WR,32,15,15,0,1,0,0,1,0,0,,0,121,70,744,10.63,7,1,0,,
Josh Downs,IND,WR,23,14,8,0,0,0,0,0,1,12,12,0,107,72,803,11.15,5,0,0,,
Cooper Rush,DAL,QB,31,12,8,187,308,1844,12,5,26,18,0.69,0,0,0,0,,0,9,3,,1
Cooper Kupp,LAR,WR,31,12,11,0,0,0,0,0,2,10,5,0,100,67,710,10.6,6,1,0,,
Khalil Shakir,BUF,WR,24,15,9,0,0,0,0,0,2,4,2,0,100,76,821,10.8,4,1,0,,
Javonte Williams,DEN,RB,24,17,11,0,0,0,0,0,139,513,3.69,4,70,52,346,6.65,0,2,2,,
George Pickens,PIT,WR,23,14,12,0,0,0,0,0,2,-6,-3,0,103,59,900,15.25,3,1,1,,
Jordan Mason,SFO,RB,25,12,6,0,0,0,0,0,153,789,5.16,3,14,11,91,8.27,0,3,1,,
Nick Westbrook-Ikhine,TEN,WR,27,17,9,0,0,0,0,0,0,0,,0,60,32,497,15.53,9,0,0,,
Deebo Samuel,SFO,WR,28,15,15,0,0,0,0,0,42,136,3.24,1,81,51,670,13.14,3,2,1,,
Jalen Tolbert,DAL,WR,25,17,15,0,0,0,0,0,0,0,,0,79,49,610,12.45,7,0,0,,
Alexander Mattison,LVR,RB,26,14,7,0,0,0,0,0,132,420,3.18,4,48,36,294,8.17,1,1,1,1,
Ray Davis,BUF,RB,25,17,0,0,0,0,0,0,113,442,3.91,3,19,17,189,11.12,3,0,0,,
Joe Flacco,IND,QB,39,8,6,162,248,1761,12,7,9,26,2.89,0,0,0,0,,0,4,4,,
Jalen McMillan,TAM,WR,23,13,12,0,0,0,0,0,4,43,10.75,0,58,37,461,12.46,8,0,0,,
Austin Ekeler,WAS,RB,29,12,6,0,0,0,0,0,77,367,4.77,4,41,35,366,10.46,0,3,0,,
Jerome Ford,CLE,RB,25,14,6,0,0,0,0,0,104,565,5.43,3,43,37,225,6.08,0,0,0,,
Michael Pittman Jr.,IND,WR,27,16,14,0,0,0,0,0,0,0,,0,111,69,808,11.71,3,1,1,,
Mac Jones,JAX,QB,26,10,7,171,262,1672,8,8,28,92,3.29,1,0,0,0,,0,2,2,,1
Gardner Minshew II,LVR,QB,28,10,9,203,306,2013,9,10,19,58,3.05,0,0,0,0,,0,6,4,,1
Mason Rudolph,TEN,QB,29,8,5,146,228,1530,9,9,25,106,4.24,1,0,0,0,,0,5,1,,1
Tyler Allgeier,ATL,RB,24,17,0,0,0,0,0,0,137,644,4.7,3,13,13,88,6.77,0,0,0,1,
Aidan O'Connell,LVR,QB,26,9,7,154,243,1612,8,4,21,30,1.43,1,0,0,0,,0,2,2,,
Demarcus Robinson,LAR,WR,30,17,17,0,0,0,0,0,0,0,,0,64,31,505,16.29,7,0,0,,
Adam Thielen,CAR,WR,34,10,10,0,0,0,0,0,0,0,,0,62,48,615,12.81,5,0,0,,
Jaylen Waddle,MIA,WR,26,15,15,0,0,0,0,0,4,12,3,0,83,58,744,12.83,2,0,0,2,
Travis Etienne,JAX,RB,25,15,15,0,0,0,0,0,150,558,3.72,2,52,39,254,6.51,0,1,1,,
DeAndre Hopkins,2TM,WR,32,16,8,0,0,0,0,0,0,0,,0,80,56,610,10.89,5,1,0,,
Marvin Mims*+,DEN,WR,22,17,2,0,0,0,0,0,13,42,3.23,0,52,39,503,12.9,6,1,0,,
Rome Odunze,CHI,WR,22,17,12,0,0,0,0,0,3,15,5,0,101,54,734,13.59,3,2,1,,
Wan'Dale Robinson,NYG,WR,23,17,7,0,0,0,0,0,3,18,6,0,140,93,699,7.52,3,0,0,,
Tank Dell,HOU,WR,25,14,10,0,0,0,0,0,9,43,4.78,0,81,51,667,13.08,3,0,0,,
Allen Lazard,NYJ,WR,29,12,10,0,1,0,0,0,0,0,,0,60,37,530,14.32,6,0,0,,
Chris Godwin,TAM,WR,28,7,7,0,0,0,0,0,1,2,2,0,62,50,576,11.52,5,1,0,,
Romeo Doubs,GNB,WR,24,13,12,0,0,0,0,0,0,0,,0,72,46,601,13.07,4,0,0,1,
Jaylen Warren,PIT,RB,26,15,0,0,0,0,0,0,120,511,4.26,1,47,38,310,8.16,0,2,1,,
Ameer Abdullah,LVR,RB,31,16,3,0,0,0,0,0,66,311,4.71,2,47,40,261,6.53,3,2,1,,
Justice Hill,BAL,RB,27,15,0,0,0,0,0,0,47,228,4.85,1,51,42,383,9.12,3,0,0,,
David Njoku,CLE,TE,28,11,11,0,0,0,0,0,0,0,,0,97,64,505,7.89,5,0,0,2,
Emanuel Wilson,GNB,RB,25,17,0,0,0,0,0,0,103,502,4.87,4,14,11,48,4.36,1,0,0,,
Andrei Iosivas,CIN,WR,25,17,8,0,0,0,0,0,0,0,,0,61,36,479,13.31,6,0,0,,
Kyle Pitts,ATL,TE,24,17,15,0,0,0,0,0,0,0,,0,74,47,602,12.81,4,0,0,,
Tyjae Spears,TEN,RB,23,12,1,0,0,0,0,0,84,312,3.71,4,35,30,224,7.47,1,1,0,,
Calvin Austin III,PIT,WR,25,17,8,0,0,0,0,0,0,0,,0,58,36,548,15.22,4,1,1,,
Keon Coleman,BUF,WR,21,13,12,0,0,0,0,0,1,9,9,0,57,29,556,19.17,4,0,0,1,
Demario Douglas,NWE,WR,24,17,7,0,0,0,0,0,3,16,5.33,0,87,66,621,9.41,3,1,0,,
Isaiah Likely,BAL,TE,24,16,9,0,0,0,0,0,0,0,,0,58,42,477,11.36,6,1,1,,
Cade Otton,TAM,TE,25,14,14,0,0,0,0,0,1,-4,-4,0,87,59,600,10.17,4,2,1,,
Tre Tucker,LVR,WR,23,17,14,0,0,0,0,0,9,44,4.89,1,81,47,539,11.47,3,0,0,,
Antonio Gibson,NWE,RB,26,17,3,0,0,0,0,0,120,538,4.48,1,29,23,206,8.96,0,2,0,,
Drew Lock,NYG,QB,28,8,5,107,181,1071,6,5,18,133,7.39,2,0,0,0,,0,5,2,,1
Cam Akers,2TM,RB,25,17,2,0,0,0,0,0,104,444,4.27,2,18,14,68,4.86,3,1,1,,
Kayshon Boutte,NWE,WR,22,15,13,0,0,0,0,0,0,0,,0,68,43,589,13.7,3,0,0,1,
Amari Cooper,2TM,WR,30,14,10,0,0,0,0,0,0,0,,0,85,44,547,12.43,4,0,0,,
Isaac Guerendo,SFO,RB,24,16,3,0,0,0,0,0,84,420,5,4,16,15,152,10.13,0,3,1,,
Hunter Henry,NWE,TE,30,16,16,0,0,0,0,0,0,0,,0,97,66,674,10.21,2,0,0,,
Taysom Hill,NOR,TE,34,8,8,2,4,21,0,1,39,278,7.13,6,31,23,187,8.13,0,1,1,,
Ray-Ray McCloud,ATL,WR,28,17,13,0,0,0,0,0,10,79,7.9,0,87,62,686,11.06,1,4,2,,
Michael Wilson,ARI,WR,24,16,13,0,0,0,0,0,1,7,7,0,71,47,548,11.66,4,1,1,,
Mike Gesicki,CIN,TE,29,17,3,0,0,0,0,0,0,0,,0,83,65,665,10.23,2,1,1,,
Deshaun Watson,CLE,QB,29,7,7,137,216,1148,5,3,31,148,4.77,1,0,0,0,,0,5,3,,1
Xavier Legette,CAR,WR,23,16,13,0,0,0,0,0,6,24,4,0,84,49,497,10.14,4,0,0,,
Devin Singletary,NYG,RB,27,15,5,0,0,0,0,0,113,437,3.87,4,24,21,119,5.67,0,2,2,,
Christian Watson,GNB,WR,25,15,15,0,0,0,0,0,4,23,5.75,0,53,29,620,21.38,2,1,1,1,
Stefon Diggs,HOU,WR,31,8,8,1,1,13,0,0,3,8,2.67,1,64,47,496,10.55,3,0,0,,
Jalen Nailor,MIN,WR,25,17,7,0,0,0,0,0,3,-4,-1.33,0,42,28,414,14.79,6,1,1,,
Ty Johnson,BUF,RB,27,17,1,0,0,0,0,0,41,213,5.2,1,25,18,284,15.78,3,0,0,,
Noah Gray,KAN,TE,25,17,10,0,0,0,0,0,1,-4,-4,0,49,40,437,10.93,5,0,0,,
Juwan Johnson,NOR,TE,28,17,5,0,0,0,0,0,0,0,,0,66,50,548,10.96,3,2,0,,
Cole Kmet,CHI,TE,25,17,16,0,0,0,0,0,0,0,,0,55,47,474,10.09,4,0,0,1,
Jaleel McLaughlin,DEN,RB,24,16,5,0,0,0,0,0,113,496,4.39,1,27,24,76,3.17,2,1,1,,
KaVontae Turpin*+,DAL,WR,28,17,2,0,0,0,0,0,16,92,5.75,0,52,31,420,13.55,2,3,1,,
Tyler Lockett,SEA,WR,32,17,14,0,0,0,0,0,0,0,,0,74,49,600,12.24,2,0,0,,
Dontayvion Wicks,GNB,WR,23,17,5,0,0,0,0,0,0,0,,0,76,39,415,10.64,5,0,0,,
Tyler Conklin,NYJ,TE,29,16,15,0,0,0,0,0,1,0,0,0,72,51,449,8.8,4,0,0,1,
Foster Moreau,NOR,TE,27,17,17,0,0,0,0,0,0,0,,0,43,32,413,12.91,5,0,0,,
Darius Slayton,NYG,WR,27,16,13,0,0,0,0,0,2,17,8.5,0,71,39,573,14.69,2,1,0,,
Mack Hollins,BUF,WR,31,17,13,0,0,0,0,0,0,0,,0,50,31,378,12.19,5,0,0,,
Josh Palmer,LAC,WR,25,15,7,0,0,0,0,0,0,0,,0,65,39,584,14.97,1,0,0,2,
Spencer Rattler,NOR,QB,24,7,6,130,228,1317,4,5,18,146,8.11,0,0,0,0,,0,5,3,,
Olamide Zaccheaus,WAS,WR,27,17,6,0,0,0,0,0,1,8,8,0,64,45,506,11.24,3,3,1,,
