Player,Tm,FantPos,Age,G,GS,Pass Cmp,Pass Att,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush Y/A,Rush TD,Rec Tgt,Rec Recept,Rec Yds,Rec Y/R,Rec TD,Fmb,FmbL,2PM,2PP
Jake Bobo,SEA,WR,26,17,3,0,0,0,0,0,0,0,,0,17,13,107,8.23,1,0,0,,
Jamison Crowder,WAS,WR,31,6,1,0,0,0,0,0,0,0,,0,13,9,72,8,2,2,1,,
Ashton Dulin,IND,WR,27,15,2,0,0,0,0,0,5,45,9,0,8,2,67,33.5,1,0,0,,
Luke McCaffrey,WAS,WR,23,17,4,0,0,0,0,0,0,0,,0,24,18,168,9.33,0,0,0,,
Andrew Ogletree,IND,TE,26,17,6,0,0,0,0,0,0,0,,0,14,9,109,12.11,1,0,0,,
Drew Sample,CIN,TE,28,17,15,0,0,0,0,0,1,-4,-4,0,22,20,109,5.45,1,1,0,,
Carson Steele,KAN,RB,22,17,3,0,0,0,0,0,56,183,3.27,0,11,7,26,3.71,0,3,2,,
Erick All,CIN,TE,24,9,6,0,0,0,0,0,0,0,,0,22,20,158,7.9,0,0,0,,
Kevin Austin,NOR,WR,24,8,2,0,0,0,0,0,1,9,9,0,22,11,151,13.73,0,1,0,,
Michael Mayer,LVR,TE,23,11,8,0,0,0,0,0,0,0,,0,32,21,156,7.43,0,0,0,,
Eric Saubert,SFO,TE,30,17,3,0,0,0,0,0,0,0,,0,14,11,97,8.82,1,1,0,,
Dorian Thompson-Robinson,CLE,QB,25,7,2,61,118,440,0,6,21,122,5.81,0,0,0,0,,0,3,1,,
Alec Ingold,MIA,FB,28,15,10,0,0,0,0,0,10,17,1.7,1,12,11,96,8.73,0,2,1,,
Lucas Krull,DEN,TE,26,13,2,0,0,0,0,0,0,0,,0,23,19,152,8,0,0,0,,
Hunter Luepke,DAL,RB,24,16,4,0,0,0,0,0,12,38,3.17,0,16,12,111,9.25,0,0,0,,
Bo Melton,GNB,WR,25,17,0,0,0,0,0,0,8,54,6.75,0,17,8,91,11.38,0,0,0,,
Jonathan Mingo,2TM,WR,23,17,6,0,0,0,0,0,2,5,2.5,0,42,17,167,9.82,0,1,1,,
Mitchell Trubisky,BUF,QB,30,9,0,19,26,179,2,0,17,1,0.06,0,0,0,0,,0,1,0,,
Tim Boyle,2TM,QB,30,3,0,27,50,276,1,1,3,9,3,0,0,0,0,,0,0,0,,
Jordan Mims,NOR,RB,25,11,0,0,0,0,0,0,20,70,3.5,0,18,12,71,5.92,0,0,0,,
Patrick Ricard*+,BAL,FB,30,17,6,0,0,0,0,0,0,0,,0,5,3,22,7.33,1,0,0,,
Trent Sherfield,MIN,WR,28,17,1,0,0,0,0,0,0,0,,0,9,8,83,10.38,1,0,0,,
Daniel Bellinger,NYG,TE,24,17,8,0,0,0,0,0,0,0,,0,17,14,125,8.93,0,0,0,,
